---------------------------------------------------------------------------------------------------
Date: 9/25/2025 -- 13:09:56 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
tcp.reassembly_memuse                                        | Total                     | 921600
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 366144
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 6834304
---------------------------------------------------------------------------------------------------
Date: 9/25/2025 -- 13:11:09 (uptime: 0d, 00h 01m 21s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 2046
decoder.bytes                                                | Total                     | 446856
decoder.ipv4                                                 | Total                     | 2044
decoder.ipv6                                                 | Total                     | 2
decoder.tcp                                                  | Total                     | 1875
tcp.syn                                                      | Total                     | 51
tcp.synack                                                   | Total                     | 15
tcp.rst                                                      | Total                     | 44
decoder.udp                                                  | Total                     | 171
decoder.avg_pkt_size                                         | Total                     | 218
decoder.max_pkt_size                                         | Total                     | 1490
tcp.active_sessions                                          | Total                     | 9
flow.total                                                   | Total                     | 71
flow.active                                                  | Total                     | 70
flow.tcp                                                     | Total                     | 38
flow.udp                                                     | Total                     | 33
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
flow.wrk.flows_evicted                                       | Total                     | 1
tcp.sessions                                                 | Total                     | 9
tcp.ssn_from_pool                                            | Total                     | 9
tcp.invalid_checksum                                         | Total                     | 383
tcp.segment_from_pool                                        | Total                     | 248
detect.alert                                                 | Total                     | 2140
app_layer.flow.quic                                          | Total                     | 3
app_layer.tx.quic                                            | Total                     | 15
app_layer.flow.mdns                                          | Total                     | 3
app_layer.tx.mdns                                            | Total                     | 6
app_layer.flow.failed_udp                                    | Total                     | 6
app_layer.flow.dns_udp                                       | Total                     | 21
app_layer.tx.dns_udp                                         | Total                     | 54
flow.end.state.new                                           | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 7
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
